LocationID,SensingDateTime,SensingDate,SensingTime,Direction_1,Direction_2,total_of_Directions
53,2023-06-05T11:21:00+10:00,2023-06-05,11:21,6,10,16
58,2023-06-05T11:21:00+10:00,2023-06-05,11:21,3,2,5
67,2023-06-05T11:21:00+10:00,2023-06-05,11:21,7,1,8
68,2023-06-05T11:21:00+10:00,2023-06-05,11:21,4,3,7
85,2023-06-05T11:21:00+10:00,2023-06-05,11:21,2,0,2
3,2023-06-05T11:21:00+10:00,2023-06-05,11:21,5,12,17
4,2023-06-05T11:21:00+10:00,2023-06-05,11:21,15,9,24
6,2023-06-05T11:21:00+10:00,2023-06-05,11:21,4,1,5
14,2023-06-05T11:21:00+10:00,2023-06-05,11:21,8,2,10
29,2023-06-05T11:21:00+10:00,2023-06-05,11:21,2,1,3
36,2023-06-05T11:21:00+10:00,2023-06-05,11:21,2,3,5
45,2023-06-05T11:21:00+10:00,2023-06-05,11:21,3,2,5
66,2023-06-05T11:21:00+10:00,2023-06-05,11:21,9,7,16
70,2023-06-05T11:21:00+10:00,2023-06-05,11:21,0,4,4
108,2023-06-05T11:21:00+10:00,2023-06-05,11:21,4,4,8
17,2023-06-05T11:21:00+10:00,2023-06-05,11:21,7,7,14
19,2023-06-05T11:21:00+10:00,2023-06-05,11:21,8,1,9
35,2023-06-05T11:21:00+10:00,2023-06-05,11:21,8,4,12
48,2023-06-05T11:21:00+10:00,2023-06-05,11:21,1,12,13
57,2023-06-05T11:21:00+10:00,2023-06-05,11:21,0,2,2
72,2023-06-05T11:21:00+10:00,2023-06-05,11:21,2,2,4
76,2023-06-05T11:21:00+10:00,2023-06-05,11:21,0,1,1
79,2023-06-05T11:21:00+10:00,2023-06-05,11:21,7,1,8
86,2023-06-05T11:21:00+10:00,2023-06-05,11:21,1,0,1
3,2023-06-05T11:20:00+10:00,2023-06-05,11:20,11,7,18
28,2023-06-05T11:20:00+10:00,2023-06-05,11:20,7,8,15
29,2023-06-05T11:20:00+10:00,2023-06-05,11:20,2,1,3
31,2023-06-05T11:20:00+10:00,2023-06-05,11:20,2,1,3
41,2023-06-05T11:20:00+10:00,2023-06-05,11:20,11,27,38
44,2023-06-05T11:20:00+10:00,2023-06-05,11:20,0,2,2
55,2023-06-05T11:20:00+10:00,2023-06-05,11:20,0,6,6
59,2023-06-05T11:20:00+10:00,2023-06-05,11:20,33,43,76
108,2023-06-05T11:20:00+10:00,2023-06-05,11:20,6,5,11
1,2023-06-05T11:20:00+10:00,2023-06-05,11:20,6,5,11
12,2023-06-05T11:20:00+10:00,2023-06-05,11:20,1,0,1
17,2023-06-05T11:20:00+10:00,2023-06-05,11:20,6,1,7
